id	title	category	price	salePrice	description	inStock	seedCount	daysToMaturity	avgReview	numReviews	isNew
CUC1	Marketmore	cucumbers	2.99		This dark green variety is the perfect slicing cucumber. Long and slender with tough skin, they are perfect on salads and sandwiches. Bright refreshing flavor with heavy yields! 8-9" long fruit.	30	50	70	3.5	68	
CUC2	Muncher	cucumbers	3.99	2.99	The muncher cucumber is one of our favorite cucumbers when it comes to a small salad or pickling cucumbers. The skin is tender and burpless. When pickled it holds up the firm texture that you want when pickling. Produces small-medium cucumbers 4-6 inches in length and produces late into the season.	20	50	55	4	44	
CUC3	National Pickling	cucumbers	2.99		Developed specially by the National Pickle Packers Association, this variety was made to fit perfectly into a pickle jar! This variety produces an abundance of 5-7 inch cucumbers. Eat them fresh, in salads, or juiced. When turned into dill or bread and butter pickles (wedged or whole), their flavor and crunch are out of this world. Low on seeds, and what seeds are produced are small and don't affect the texture. The cucumber is very tolerant to powdery mildew, but not resistant to it, the national pickling cucumber is far more “resistant” than almost any other pickling variety!	14	50	60	4.5	53	
FLOW1	Orange Poppy	flowers	3.99	2.99	These delicate flowers are a beautiful orange color. They will flower in the cooler temperatures, weeks before other annuals to bring you a spark of joy. Great for attracting beneficial pollinators like bumble bees and honeybees. Poppies will put on a show for around 10 days before they head into dormancy for the next season. Deer and rabbit resistant!	25	500	120	5	40	
FLOW2	Cosmo Mix	flowers	1.99		A mix of beautiful pink, red, white, purple blooms. These cosmo mix is both cheerful and delightful! Will flower from Summer into Autumn- thrives most in a bright sunny locatiion with good well drained soil. Fern like wispy foliage.	70	250	60	4.5	21	true
FLOW3	Shasta Daisy	flowers	2.99		This classic daisy variety has been well loved for generations. Beautiful white bright flowers with warm yellow centers are the perfect addition to your cut flower collection. This perennial flower will grow for continuous months in zones 3-9. Make sure you keep room for your plant as they will grow 24-36 inches tall and 20 inches wide.	5	75	100	4.5	36	
FLOW4	Evening Sunflower	flowers	3.99		Like a sunset, this variety busts with gorgeous burnt orange and rusty red colors. The majority of these blooms will be bicolored. These sunflowers can bloom throughout the season and will produce multiple flowers per seed.	0	50	90	4	12	true
HERB1	Genovese Basil	herbs	2.99		From Italy, this variety has a powerful flavor that is ideal for making fresh pesto. Large consistent leaves are great for a refreshing Caprese salad too! Easy to grow in containers to use in cooking all year. Great for not only outdoor gardens, but for greenhouse and aquaponic growing as well.	45	200	68	5	105	
HERB2	Purple Basil	herbs	4.99	2.99	This beautiful variety is grown as much for decoration as it is for its flavor. With deep purple leaves, dark stems, and lilac flowers, this variety is the perfect garnish and can add a pop of color to pestos and salad dressings. Not only is this variety delicious, but it is also a stunning filler for bouquets and arrangments.	28	200	65	3.5	37	true
HERB3	Thyme	herbs	3.99		Thyme is one of the most widely used culinary herbs. An intensely lemony aroma with a subtle Mediterranean feel. Great cooked or added fresh to salad dressings. Dry over the winter or grow fresh on the windowsill. Leaves are green at the base of the plant and become a beautiful bluish-green as the leaf grows and matures. Can be grown as a perennial.	0	300	60	4.5	64	
HERB4	Oregano	herbs	3.99		A key herb in any Italian, Greek, or Mexican cooking. This attractive shrub-like perennial grows flavorful leaves perfect for using fresh or dried. Divide out clumps and plant around the garden for natural pest control or give to friends and family. Attracts honeybees and beneficial pollinators to the garden when it flowers.	10	300	60	4.5	68	
HERB5	Rosemary	herbs	3.99		Rosemary is one of the most popular herbs used in Mediterranean cooking. Rosemary will grow in dry conditions making it great for gardens that receive less rainfall and does well in containers. Prefers partial sun, but can survive in full sun if need be. The flavor is earthy, with notes of pine and citrus. Does well in a kitchen windowsill garden because of its low light tolerance. 	19	100	90	4	72	
HERB6	Mint	herbs	2.99		Common mint, otherwise known as spearmint is one of the most widely used mentha strains for its strong fragrance and flavor. It is greate for lemonade and teas. Spearmint will grow large and makes a wonderful groundcover. While the flowers attract pollinators to the area. Mint can be harvested at any stage, but is most fragrant when the shoots are new. Mint is a fast growning will growing plant that grows back year after year and can tolerate cold weather well.	45	300	60	4	54	
HERB7	German Chamomile	herbs	3.99		The blooms on this petite variety resemble daisies with their bright white petals coming off their vibrant yellow discs. The sweet flavor resembles apples and has a calming ability. This medicinal herb has been a staple for centuries. Grows up to 20" tall and can produce hundreds of flower heads if properly maintained. Ideal for making a homemade calming tea, drying for decorations, or making perfume.	32	500	50	4.5	36	
HERB8	Parsley	herbs	3.99		Savory and lemony! This parsley is great for all fresh Italian dishes or as a garnish for soups. Dried or fresh, it is one of the most common household herbs used around the world. Parsley is rich in vitamin C and is regarded as a superfood because of its high concentration of vitamins and minerals. Perennial. First to grow in the spring, and last to die in the winter. This parsley is great on any dish that requires lemon! Delicious dried or fresh.	3	100	75	4	82	
KALE1	Dinosaur	kale	4.99		An heirloom variety with 3″ wide blue-green leaves. The leaves reach up to 18″ long and are healthy and delicious. The plant is very cold tolerant and a prolific producer. Leaves become more tender and flavorful after a hard frost. Tastes great when steamed or stir-fried, versatile enough for juicing. Replace these kale leaves with traditional lettuce wraps for a crunchier wrap, make sure to massage the leaves in lemon juice before serving for the best nutrients and flavor! Excellent Source Of Vitamins C and A, Phytonutrients, Iron, and Calcium.	0	100	45	4	60	true
KALE2	Blue Curled Scotch	kale	2.99		Blue curled scotch kale is a large-leaf kale variety that produces many leaves per plant, dark green in color, and tightly crinkled. The leaves are sweet, tender, and crunchy especially when harvested after exposure to cool frosty weather. It is often seen as a garnish, however; this kale is a superfood! Loaded with antioxidants, vitamins, and minerals, this variety is perfect for juicing. It is also amazing in smoothies, salads, microgreens, and even kale chips.	18	200	50	5	72	
KALE3	Red Russian	kale	2.99	1.99	This beautiful variety is sage green with purple-veined leaves. Softer than most kale, the leaves reach up to 15″ long and are slightly fuzzy. Add to smoothies and juices as a nutrient-dense green, or add to stir-fries for a robust flavor. Very frost tolerant and the leaves become more tender and appetizing after a hard frost. This tastes delectable with a honey mustard dressing! Excellent source of vitamins C and A.	35	200	50	3.5	33	
LET1	Red Sails	lettuce	3.99	2.99	This tender, mahogany purple leaf lettuce is a fun variety to toss-up in your crunchier green mix! The flavor is bold and fresh! It always tastes great in a light fruity vinaigrette or a creamy dressing.	98	750	50	5	65	true
LET2	Black Seeded Simpson	lettuce	1.99		Black seeded Simpson lettuce is one of the most popular forms of lettuce for the home gardener. Cut and come again style lettuce provides tons of food from just a single plant. Easy to grow, very versatile, and a delicious non-bitter variety of lettuce.	52	1000	40	4	62	
LET3	Romaine	lettuce	2.99		Named for an island off the coast of South Carolina, this variety was introduced in 1952. Crisp and sweet, this beloved heirloom has been a favorite for generations (especially on the Eastern Seaboard where it originates). Tall, uniform leaves create the perfect shape for lettuce wraps or boats for dips and dressings.	65	1000	45	4.5	80	
LET4	Red Romaine	lettuce	2.99		Plants produce heads if left long enough, and the leaves are the deepest shade of red you can imagine. Amazing in salads, on sandwiches, or in wraps. Adds a pop of color to anything. The deep red color also means you are getting some amazing antioxidants! This variety is cold-hardy, grows amazing in containers, and is heat and cold-tolerant.	60	750	45	4	35	
LET5	Salad Bowl	lettuce	2.99		This variety has tender, medium-green leaves resembling those of an oak tree. The heads are slow bolting and compact. Wonderful for the container-growing gardener. The quick growing time makes Oakleaf lettuce good for areas with short growing seasons.	0	1000	45	3	54	
LET6	Buttercrunch	lettuce	2.99		A buttery sweet variety that is a staple in every garden. The leaves are soft and crisp, making them the perfect base for any salad. The plants are great for square foot gardening because of their ability to be planted closely together. Can be started earlier in the season because of a very high tolerance for cold weather.	3	750	55	3.5	20	
ON1	Patterson	onions	4.99	3.99	A great storage onion. Produces 3-4" bulbs with sweet yellow flesh. Great for fresh eating as well! Long day variety, plant in Northern regions.	33	200	100	4.5	72	
ON2	Red Wethersfield	onions	3.99		Red Wethersfield Onion put Wethersfield, Connecticut on the map In 1834. This impressive dark red onion with unmatched flavor was the main export of the area. Its flattened purple globes and pungent flesh made this variety a fast favorite. Extremely rare and sought after in the culinary world. This variety is a delicious addition to salads, canning, and fresh eating. 	18	200	100	4	52	
ON3	White Lisbon	onions	2.99		These onions are extremely space-efficient and easy to grow. Tender, flavorful, and delicious; this variety is perfect for a cut and comes again garden. Excellent for potted gardens and small spaces. The uses for this onion are endless!	0	500	70	4	20	
PEA1	Cascadia	peas	2.99		Produces heavy yeilds of juicy, thick walled pods. Short vines make this variety a great space saver and grows great in containers. Ripens early and resistant to powdery mildew.	2	100	58	4.5	44	
PEA2	Super Sugar Snap	peas	3.99	2.99	The sugar snap pea is the go-to choice for everyone who loves a productive, sweet, and crisp pea. This variety produces small, cute pods that are delicious and able to be eaten raw, cooked, pods, or peas! The plant produces early and abundantly producing pods around 3-4 inches in length. flowers attract pollinators into the garden and are a great early spring crop to grow since sugar snap peas are extremely cold hardy. Many have reported being able to have snow on them without being negatively affected.	40	100	70	4.5	79	
PEP1	California Wonder	peppers	2.99		This variety has been the most popular bell variety since its introduction in 1928. A standard go-to bell pepper for decades. The perfect blocky, four-lobed stuffing pepper. Thick-walled and bursting with flavor. The largest open-pollinated heirloom bell pepper on the market!	80	50	75	5	110	
PEP2	Jimmy Nardello	peppers	4.99		A highly prized grilling pepper used in Italian cooking. Plants produce many deep red medium/mild peppers that are curved at the top and measure around 5 inches long. Excellent fresh or dried. Genetics can be traced back to the early 1900s.	2	25	75	5	24	true
PEP3	Sweet Banana	peppers	3.99		This sweet and tasty variety bears pointed yellow fruit about 7 inches long. Thick-walled fruit matures from light yellow to bright red. Popular for salads, frying, and pickling. These sweet banana peppers are great to top pizzas, salads, and sandwiches!	0	50	75	3	38	
PEP4	Jalapeño	peppers	2.99		The Early Jalapeño Pepper is a great variety for Northern Gardeners. This variety reigns early, dark green to red in color. The peppers grow up to 3 inches, prolific producers. Can be eaten raw, cooked, or pickled! These peppers are a wonderful ingredient to traditional guacamole or can be sautéed and added to fajitas!	45	50	75	4.5	60	
PEP5	Habanero	peppers	4.99	3.99	Caution! This innocent-looking pepper is very hot! Originating in Amazonian Brazil before making its way to Northern Mexico and the Caribbean, this variety packs a punch. Fruit matures from green to bright orange and has a taste of tangy citrus flavor accompanied by amazing heat. Fruits reach 3-5 cm long. Best suited for the daring, and those that love spicy food.	21	25	100	4	29	
PEP6	Cayenne	peppers	3.99		Do not be deceived by the size, these peppers pack a lot of heat and flavor. This variety is high-yielding and grows 4-6" long and 1/2" wide. Slightly hotter than jalapenos, this variety has a multitude of uses in the kitchen. Fresh, canned, used in pickling or dried, cayenne is the perfect type for adding a kick to any recipe.	33	25	75	3.5	44	
RAD1	Early Scarlet Globe	radishes	2.99	1.99	The early scarlet globe radish is a bright red radish, with white flesh that is truly sweet and crispy. Easy to grow with a short maturity date. Perfect size for snacking on with a bit of salt or slicing onto fresh salads.	40	250	22	5	80	
RAD2	German Giant	radishes	3.99		Absolutely massive radishes, this variety is often confused for beets. These are fast maturing for their size, and if you like a spicy radish then you are in luck. These are hot, delicious, and if you like garden-fresh snacks, then these are for you. Beautiful red roots that can be as large as a golf ball!	0	250	30	4	29	
RAD3	French Breakfast	radishes	2.99		The French Breakfast Radish is a blunt finger-shaped radish growing to about 3″ long. The roots are red blending to white at the tip. The flesh is crisp and white with a little kick. The short shelf life makes this variety perfect for the home gardener. Plant French Breakfast Radish Seeds very early in the spring in a sunny location as soon as the ground may be cultivated and enriched with organic material. For an extended harvest period, plant at two-week intervals avoiding hot summer temperatures. Press soil firmly over seeds.	15	250	24	3	46	
RAD4	Cherry Belle	radishes	2.99		A crisp radish is what you get with Cherry Belle. It is a mildly spicy radish that gets hotter with a later season. It is also larger than most radishes allowing you to have quite a great snack from just a few of them. Great to grow in the early spring and fall. Perfect for growing with kids, let them grow their own after-school snack!	4	250	24	4	65	
SQ1	Cocozelle	squash	4.99		If you are someone who enjoys growing giant vegetables, this is one for you. The average size of the squash is around 45 pounds when at full maturity. However, in its native Italy, this variety is harvested very early when the fruits are under 8" in length for the best flavor. When small it is tender, delicious, and isn't stringy at all. This delicious summer squash is great for grilling. Harvest early to extend the harvest on each plant.	0	50	50	4	15	true
SQ2	Black Beauty	squash	2.99	1.99	Black Beauty Zucchini is the cultivar you most frequently find in the grocery store. The plants produce dark green, glossy, straight, and slender zucchini. May grow up to the size of a baseball bat or bigger if you forget about it! Firm, very tender, with amazing flavor. Great to add to your grilled recipes such as kebabs or incorporate into zucchini bread for a sweet treat.	62	50	50	5	84	
SQ3	Yellow Crookneck	squash	3.99		This variety is one of the oldest squash still being grown. Seeds were brought over from Europe and cultivated in the Americas as early as the 1500s. The namesake comes from the bent neck of the gourd with its rounded bottom. This shape provides good meat with minimal seeds. Pick them small, and they are the best thing for a summer stir-fry or vegetable salad.	15	50	65	4	48	
SQ4	Table King Acorn	squash	3.99		This variety is a compact plant that is great for home gardeners. The plant usually sets 5-8 two-pound delicious fruits. Great for storing and even developing better flavor when stored briefly. Drizzle with brown sugar and butter place in the oven to bake at 350º for 15-20 minutes, and enjoy! Excellent source of Minerals and Vitamins C, K, E and an excellent source of Fiber.	3	50	80	4	35	
SQ5	Butterbush	squash	3.99		This compact butternut squash is a crowd favorite for its standard fruit size and long shelf life—amazingly compact plants. Ideal in small gardens and containers, this squash will produce between 3-6 squash.	20	50	75	3.5	40	true
TOM1	Roma	tomatoes	3.99		This classic plum-shaped tomato is grown for its massive yields, strong growing habits, and disease resistance. The Roma Tomato can be used in pasta, spaghetti sauce, salads, and fresh eating. It is a meatier variety with less juice so it is also good for breakfast. This cultivar is Verticillium Wilt resistant, and Fusarium wilt resistant. Drought tolerant, and a must-have for the homestead!	80	50	65	3	82	
TOM2	San Marzano	tomatoes	3.99		The San Marzano tomato is the undisputed king of paste tomatoes. Each plant produces insane amounts of medium 3-5 ounce tomatoes. Expect high production up to the first frost. The flavor is acidic; making it great for canning, tomato paste, pizza sauce, pasta sauce, and even fresh eating in salads! Gourmet and home chefs seek out the San Marzano for its amazing flavor and perfect texture.	46	25	85	4	43	
TOM3	Super Sweet 100	tomatoes	2.99		These cherry tomatoes are bursting with flavor. Produces 100s of cherry sized fruits in long clusters right up to frost. Grows great on stakes or a trellis. Higher vitamin C content than any other tomato!	16	50	65	4.5	89	
TOM4	Sun Gold	tomatoes	6.99	4.99	Exceptionally sweet, bright tangerine-orange cherry tomatoes. Vigorous plants start yielding early and bear right through the season. Great for snacking while working in the garden!	3	25	65	4.5	62	
TOM5	Costoluto Genovese	tomatoes	5.99		This Italian slicing tomato bares high, disease resistant yields. The fruits are red and ribbed – a unique shape compared to the traditional round tomato. Use this sweet and juicy variety as a right-off-the-vine snack, or slice up to toss onto a salad! Early maturing.	14	25	75	4	27	true
TOM6	Black Krim	tomatoes	4.99		This beefsteak variety tomato produces burgundy purple fruits with minor pleating at the shoulders and a rust red bottom that transitions to a deep burgundy top. The inside of the fruit is deep purple with very few seeds. Fruits weigh an average of 1lb and often exceeds that. Sweet, slightly smoky, low acid, and rich in flavor. Originally crossed with a beefsteak and a cherokee purple, the result is high yields and a resistance to disease and cracking. A top choice for warm climates but will also do very well in cooler climates.	0	25	80	4	25	
